-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: torch::autograd...         0.50%     145.359ms         1.44%     419.437ms      39.901us      96.994ms         0.30%     366.324ms      34.848us           0 b           0 b     -11.31 Gb      -3.31 Gb         10512  
                              Optimizer.step#AdamW.step         0.38%     112.070ms         2.13%     620.209ms      34.456ms      58.660ms         0.18%     641.401ms      35.633ms         584 b          60 b     415.56 Mb      -3.66 Gb            18  
                                 IndexFirstAxisBackward         1.45%     424.307ms         4.00%        1.167s     337.531us     305.988ms         0.95%        1.062s     307.336us           0 b           0 b      10.11 Gb      -5.16 Gb          3456  
autograd::engine::evaluate_function: IndexFirstAxisB...         0.24%      69.146ms         4.24%        1.236s     357.539us      59.360ms         0.19%        1.122s     324.512us           0 b           0 b       4.36 Gb      -5.75 Gb          3456  
autograd::engine::evaluate_function: IndexPutFirstAx...         0.07%      19.629ms         0.43%     126.374ms     109.700us      14.257ms         0.04%     107.626ms      93.425us           0 b           0 b      -2.77 Gb      -5.88 Gb          1152  
                        torch::autograd::AccumulateGrad         0.49%     143.360ms         0.94%     274.078ms      26.073us      98.628ms         0.31%     269.330ms      25.621us           0 b           0 b      -8.00 Gb      -8.00 Gb         10512  
                                    FlashAttnVarlenFunc         0.93%     271.989ms         3.81%        1.113s     482.948us     293.156ms         0.91%        1.161s     504.031us           0 b           0 b      13.65 Gb      -8.32 Gb          2304  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.01%       2.462ms         0.21%      60.210ms     836.250us     623.000us         0.00%      82.191ms       1.142ms           0 b           0 b    -356.50 Mb      -9.06 Gb            72  
autograd::engine::evaluate_function: FlashAttnVarlen...         0.12%      35.821ms         2.74%     798.668ms     693.288us      29.646ms         0.09%     726.970ms     631.050us           0 b           0 b      -6.78 Gb     -12.51 Gb          1152  
                            FlashAttnVarlenFuncBackward         1.15%     335.956ms         2.62%     762.847ms     662.194us     333.446ms         1.04%     697.324ms     605.316us           0 b           0 b       5.73 Gb     -23.17 Gb          1152  
     autograd::engine::evaluate_function: MeanBackward1         0.16%      45.519ms         0.77%     224.763ms      94.597us      27.750ms         0.09%     194.975ms      82.060us           0 b           0 b     -32.75 Mb     -23.66 Gb          2376  
     autograd::engine::evaluate_function: SiluBackward0         0.07%      21.614ms         0.20%      59.187ms      51.378us       6.127ms         0.02%     107.720ms      93.507us           0 b           0 b     -15.17 Gb     -30.38 Gb          1152  
     autograd::engine::evaluate_function: ViewBackward0         1.04%     302.567ms         3.21%     936.930ms      53.772us     175.760ms         0.55%     803.855ms      46.135us           0 b           0 b     -17.49 Gb     -37.11 Gb         17424  
                                           PowBackward0         0.38%     111.004ms         1.21%     353.855ms     148.929us      67.970ms         0.21%     509.822ms     214.572us           0 b      -3.42 Kb      28.86 Gb     -41.84 Gb          2376  
                               aten::cross_entropy_loss         0.01%       3.407ms         0.18%      51.359ms     356.660us       1.512ms         0.00%     926.684ms       6.435ms           0 b           0 b      69.68 Gb     -52.04 Gb           144  
      autograd::engine::evaluate_function: PowBackward0         0.28%      81.017ms         1.58%     461.883ms     194.395us      23.884ms         0.07%     673.733ms     283.558us           0 b           0 b     -47.23 Gb     -76.09 Gb          2376  
       autograd::engine::evaluate_function: MmBackward0         0.54%     156.511ms         5.80%        1.692s     208.008us      52.411ms         0.16%        2.379s     292.417us           0 b           0 b     -34.09 Gb     -99.74 Gb          8136  
autograd::engine::evaluate_function: ToCopyBackward0...         0.39%     113.244ms         1.64%     477.933ms      99.074us      36.161ms         0.11%     561.412ms     116.379us           0 b           0 b     -38.06 Gb    -100.19 Gb          4824  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.01%       2.583ms         0.03%       8.124ms     112.833us     282.000us         0.00%     386.661ms       5.370ms           0 b           0 b     -52.76 Gb    -105.51 Gb            72  
    autograd::engine::evaluate_function: SliceBackward0         0.50%     146.626ms         4.66%        1.359s     285.940us      66.966ms         0.21%        1.281s     269.546us           0 b           0 b      -3.97 Gb    -125.48 Gb          4752  
      autograd::engine::evaluate_function: MulBackward0         1.20%     349.259ms         3.82%        1.113s     105.873us     135.042ms         0.42%        1.190s     113.231us           0 b           0 b     -27.10 Gb    -144.75 Gb         10512  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us      -3.59 Gb      -3.59 Gb    -744.01 Gb    -744.01 Gb        120645  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 29.169s
Self CUDA time total: 32.062s
